단축코드,한글 종목약명,상장주식수
4545,깨끗한나라우,366160
4540,깨끗한나라,37240693
407400,꿈비,12259474
187790,나노,30840830
286750,나노브릭,20694559
121600,나노신소재,12196078
247660,나노씨엠에스,4343920
39860,나노엔텍,26807627
91970,나노캠텍,37417493
417010,나노팀,19724328
244880,나눔테크,5020000
405920,나라셀라,12878076
288490,나라소프트,52414732
51490,나라엠앤디,14200000
137080,나래나노텍,11059422
190510,나무가,16264384
242040,나무기술,34606264
89600,나스미디어,11568163
293580,나우IB,95770000
257990,나우코스,5883892
138610,나이벡,10230743
130580,나이스디앤비,15400000
36800,나이스정보통신,10000000
30190,NICE평가정보,60107670
267320,나인테크,43664104
1260,남광토건,9832572
8355,남선알미우,307890
8350,남선알미늄,129079090
4270,남성,36212160
3925,남양유업우,200000
3920,남양유업,720000
25860,남해화학,49678843
111710,남화산업,20588000
91590,남화토건,11740000
168330,내츄럴엔도텍,31754900
94860,네오리진,21399569
253590,네오셈,43869164
212560,네오오토,7874963
95660,네오위즈,22033719
42420,네오위즈홀딩스,8856866
950220,네오이뮨텍,98867465
311390,네오크레마,10979147
85910,네오티스,13934818
92730,네오팜,8207361
290660,네오펙트,41371281
306620,네온테크,41713607
153460,네이블,6530014
7390,네이처셀,64157156
33640,네패스,23059202
330860,네패스아크,12184045
5725,넥센우,3600600
5720,넥센,53543977
2355,넥센타이어1우B,6500000
2350,넥센타이어,97667877
89140,넥스턴바이오,10357863
137940,넥스트아이,78320992
160550,NEW,27906106
396270,넥스트칩,18050640
348210,넥스틴,10278332
92790,넥스틸,26002000
225570,넥슨게임즈,65803770
217270,넵튠,46612150
251270,넷마블,85953502
317860,노드메이슨,4429715
104620,노랑풍선,15842126
90355,노루페인트우,463126
90350,노루페인트,20000000
325,노루홀딩스우,243559
320,노루홀딩스,13291151
194700,노바렉스,18754848
285490,노바텍,10575831
283100,노보믹스,6564899
229500,노브메타파마,11090448
106520,노블엠앤비,38695952
376930,노을,36947060
6280,녹십자,11686538
142280,녹십자엠에스,21136211
234690,녹십자웰빙,17752276
5257,녹십자홀딩스2우,845990
5250,녹십자홀딩스,47028210
65560,녹원씨엔아이,16440776
4370,농심,6082642
72710,농심홀딩스,4637790
154030,아시아종묘,11120839
